Player,Team,Number,Years,Other appearances
Ricardo Villa,Argentina,1,1978,
Viola,Brazil,1,1994,
Berti Vogts,West Germany,1,1974,"1970, 1978"
Rudi Völler,West Germany,1,1990,"1986, 1994"
Fritz Walter,West Germany,1,1954,1958
Ottmar Walter,West Germany,1,1954,
Roman Weidenfeller,Germany,1,2014,
Ray Wilson,England,1,1966,1962
Wilson Piazza,Brazil,1,1970,1974
Herbert Wimmer,West Germany,1,1974,
Xavi,Spain,1,2010,"2002, 2006, 2014"
Cristian Zaccardo,Italy,1,2006,
Gianluca Zambrotta,Italy,1,2006,"2002, 2010"
Zé Maria,Brazil,1,1970,1974
Héctor Zelada,Argentina,1,1986,
Zequinha,Brazil,1,1962,
Zetti,Brazil,1,1994,
Zinedine Zidane,France,1,1998,"2002, 2006"
Ron-Robert Zieler,Germany,1,2014,
Zinho,Brazil,1,1994,
Dino Zoff,Italy,1,1982,"1970, 1974, 1978"
